shock,outcome,horizon,beta,se,tstat,pvalue,sig_flag
energy,log_gdppc_x100,6,-23.02329829714911,10.341344206371877,-2.2263351685908663,0.025991739483661958,**
energy,log_gdppc_x100,7,-20.62164751216735,10.938193131867827,-1.8852882979445031,0.059390925185714094,*
energy,log_gdppc_x100,8,-18.00921294569443,11.545552702192836,-1.5598398283933135,0.11879773680625805,
energy,SI.POV.DDAY,0,-2.45985156371704,1.595187721010241,-1.5420451971378033,0.12306261084845871,
energy,SI.POV.DDAY,1,-3.258264796924779,2.115388052735591,-1.540268128446332,0.1234950092469278,
energy,SI.POV.DDAY,2,-4.647085085776965,2.480326407641591,-1.8735780385435754,0.06098860734496303,*
energy,SI.POV.DDAY,3,-5.834017721539651,2.5430113907482825,-2.294137471331966,0.02178260359293338,**
energy,SI.POV.DDAY,4,-6.525844583801284,2.8335334200279054,-2.3030766242866534,0.02127453226587317,**
energy,SI.POV.DDAY,5,-7.019222871696985,3.005616458732509,-2.3353687897547126,0.019524163396900995,**
energy,SI.POV.DDAY,6,-6.8817315735962925,2.7985262999004634,-2.459055529991288,0.013930306925413527,**
energy,SI.POV.DDAY,7,-7.1655097991046866,3.3710916094825834,-2.1255755194990074,0.03353861977175465,**
energy,SI.POV.DDAY,8,-6.313115142831508,3.7029468358569426,-1.7048894900945872,0.08821503687706933,*
energy,SI.POV.GINI,0,-0.7028448814240058,0.6789743431683075,-1.0351567603339926,0.3005957084371895,
energy,SI.POV.GINI,1,-1.1537894299738751,0.9920066866159569,-1.1630863436110592,0.24479447228532392,
energy,SI.POV.GINI,2,-0.8926823154662007,1.1746708235230199,-0.7599425282300858,0.44728893907772216,
energy,SI.POV.GINI,3,-0.5077775025607056,1.3137642026822773,-0.3865058139991864,0.699122097571264,
energy,SI.POV.GINI,4,-0.2264112228042654,1.5870233070968358,-0.1426640817383096,0.8865554851055075,
energy,SI.POV.GINI,5,-0.5174145993832828,1.5968447171869011,-0.3240231149681178,0.745920534293901,
energy,SI.POV.GINI,6,-1.0669527442032942,2.157424476220203,-0.49454929058401625,0.6209183047176219,
energy,SI.POV.GINI,7,-0.8449681224841813,2.2711685994848474,-0.3720411257340557,0.7098622296663906,
energy,SI.POV.GINI,8,-0.4911069772496528,2.4169828767055708,-0.20319009372505287,0.8389864553983275,
research_innovation,log_gdppc_x100,0,-0.08420349728662713,1.2706285907123938,-0.06626916622379589,0.9471635310340074,
research_innovation,log_gdppc_x100,1,-2.651001714839407,1.7674246588654678,-1.4999234629560496,0.13363422946361925,
research_innovation,log_gdppc_x100,2,-1.902701304064613,2.620113147651104,-0.7261905104252306,0.46772198861638925,
research_innovation,log_gdppc_x100,3,0.6565320019073595,2.3434945207261904,0.28015085851530674,0.7793617667818797,
research_innovation,log_gdppc_x100,4,-1.1043485122611925,2.5411968649359906,-0.4345781027433345,0.6638686921189925,
research_innovation,log_gdppc_x100,5,-2.4019734366444037,2.952223357091575,-0.8136150778953061,0.41586549740336354,
research_innovation,log_gdppc_x100,6,-0.7237352506489161,3.1148637519898315,-0.23234892703945104,0.8162670137544457,
research_innovation,log_gdppc_x100,7,-0.35212843136055416,3.672464280561181,-0.09588341899590816,0.9236131636231053,
research_innovation,log_gdppc_x100,8,-1.603077348040895,4.0614024773819315,-0.3947102896027861,0.6930567081021262,
research_innovation,SI.POV.DDAY,0,-0.4316911178216052,0.4774411641470664,-0.9041765776371792,0.365901777883646,
research_innovation,SI.POV.DDAY,1,-0.8959331365049676,0.6576832014455721,-1.362256378961372,0.1731169887659727,
research_innovation,SI.POV.DDAY,2,-1.1645554757083147,0.7508619690773362,-1.5509581303462843,0.12091171818733892,
research_innovation,SI.POV.DDAY,3,-0.8426290179831519,0.7905303184884551,-1.0659034805828989,0.2864672754539228,
research_innovation,SI.POV.DDAY,4,-0.9898728328930732,0.8609006431007775,-1.1498107718072619,0.2502218176504758,
research_innovation,SI.POV.DDAY,5,-0.8746008060820756,0.9280945711686046,-0.9423617304223936,0.3460074733957432,
research_innovation,SI.POV.DDAY,6,-0.649219694769706,0.9137416236731242,-0.7105068631545163,0.47738987647546693,
research_innovation,SI.POV.DDAY,7,-0.7977038705484176,1.09389038341725,-0.7292356552732798,0.4658575243237246,
research_innovation,SI.POV.DDAY,8,-0.09653885719463207,1.2720477803296306,-0.07589247722252665,0.9395046419066222,
research_innovation,SI.POV.GINI,0,0.43124180864626604,0.23707131087704458,1.8190383604447469,0.06890557786432527,*
research_innovation,SI.POV.GINI,1,0.4032394538472567,0.3952246019218234,1.0202792333434207,0.30759604930907813,
