iso3,year,education,energy,health,housing_living,research_innovation,security_stability,composite
PAK,2017,-1.9940577751154909,-0.4204038823176947,-1.4514472982948623,-0.47863576195947594,-1.3478856175275207,0.4210244132905375,-0.8785676536540844
PAK,2018,-2.013864656987697,-0.41231665610055207,-1.296890005324317,-0.4171574927232993,-1.2715301939152444,0.42496460535654224,-0.8311323999490946
PAK,2019,-1.9450045948471393,-0.4529103903059384,-1.1820505010771614,-0.3555535546198411,-1.2352854301285414,0.4360214242640143,-0.7891305077857679
PAK,2020,-1.8902682932898351,-0.3803368466638045,-1.048721884305065,-0.29384925348947133,-1.2151128537830542,0.4304048778977088,-0.7329807089389203
PAK,2021,-1.858333336410267,-0.3011052827733592,-1.0068861492113226,-0.2494607701871284,-1.1453071815163873,0.41420205082216494,-0.6911484448793833
PAK,2022,-1.927357191843231,-0.3121300796408502,-0.8900970519413395,-0.20502631332380322,-1.122572048291337,0.3940032222241427,-0.6771965771360696
PAK,2023,-1.91464662089364,-0.3131849572315283,-0.8515298651576021,-0.20349312510766543,-1.1061665692506573,0.3761398743090447,-0.6688135438886746
PAK,2024,-1.8936219108705785,-0.3131849572315283,-0.7692764531123819,-0.2018803450810447,-1.1008884454481107,0.3761398743090447,-0.6504520395724332
PER,1990,0.3022310301742077,-0.5578872551620575,-1.2346697966727356,0.6603733824598145,-1.6044547223237444,0.3520956587597074,-0.34705195046080134
PER,1991,0.35524787560637994,-0.5246693068296632,-0.9494625774433316,0.641467165093031,-2.482405177121961,0.25813113294977985,-0.4502818146242942
PER,1992,0.3720841786883403,-0.5622463245805981,-0.667180612828457,0.621663390710231,-2.574313292346203,0.3272284456918994,-0.41379403577746454
PER,1993,0.23894269911067129,-0.5937103663961069,-0.7397508184431744,0.6009816659363008,-2.4720090853332946,0.36113293722417866,-0.43406882798357077
PER,1994,0.19622344763472357,-0.48390295836594355,-0.6098257591704667,0.5802369352302381,-2.5224158085242516,0.32257149401570856,-0.41951877486333194
PER,1995,0.18739227496118813,-0.3845004618079898,-0.05876510524926958,0.560488257954306,-1.8497566071325728,0.3454223720933433,-0.1999532115301658
PER,1996,0.2449373738220534,-0.3336792872144242,-0.14100523387254035,0.5413194102817214,-1.9145883878552956,0.32651814842193294,-0.21274966273609208
PER,1997,0.3327274135920779,-0.2470352723090195,0.03407090071877419,0.5226619544061671,-2.0005272618871737,0.2548627594114301,-0.18387325101129062
PER,1998,0.5634636097888059,-0.36802002003970047,0.2138268248539747,0.5042551549482887,-2.0457294835956117,0.2576837498375642,-0.1457533607011131
PER,1999,0.648570440645162,-0.29251109106981626,0.3606301525017246,0.4852678844886026,-1.9403465290581605,0.24548290492737532,-0.08215103959418536
